year,poor_pop_world,pct_poor,all_poor_minus_china,pct_poor_minus_china
1981,1917,42,1041,30
1982,1933,42,1088,30
1983,1924,41,1111,30
1984,1882,40,1102,30
1985,1839,38,1098,29
1986,1807,37,1108,29
1987,1787,36,1131,29
1988,1716,34,1029,26
1989,1910,37,1191,29
1990,1912,36,1160,28
1991,1936,36,1211,29
1992,1914,35,1217,28
1993,1898,34,1230,28
1994,1864,33,1248,28
1995,1786,31,1223,27
1996,1719,30,1211,26
1997,1737,30,1230,26
1998,1784,30,1278,27
1999,1741,29,1237,26
2000,1695,28,1223,25
2001,1666,27,1227,25
2002,1614,26,1208,24
2003,1568,25,1216,24
2004,1471,23,1174,23
2005,1363,21,1121,22
2006,1337,20,1110,21
2007,1274,19,1062,20
2008,1243,18,1046,19
2009,1206,18,1033,19
2010,1109,16,959,17
2011,969,14,863,15
2012,911,13,824,14
2013,813,11,787,14
2014,774,11,755,13
2015,741,10,731,12
